The previously uploaded Workshop item could not be found. Please upload again to create a new item.,,"Zuvor hochgeladenes Workshop-Objekt nicht gefunden. Bitte erneut hochladen, um ein Neues zu erstellen.",L'objet partagé sur le Workshop n'a pas pu être trouvé. Téléchargez-le à nouveau pour créer un nouvel objet.,"Не удается найти объект, отправленный в Мастерскую. Повторите отправку, чтобы создать новый объект.",未找到先前上传创意工坊的文件。请再次上传以创建新文件。,以前にワークショップに●アップロードされた●アイテムが●見つかりませんでした。新しいアイテムを●作成するには、もう一度●アップロードして●ください。,"El ítem del Workshop previamente cargado no se pudo encontrar. Por favor, vuelva a subirlo para crear un nuevo ítem.",이전에 창작마당에 업로드한 퍼즐을 찾을 수 없습니다. 다시 업로드해주세요.,Önceden yüklenen Atölye öğesi bulunamadı. Yeni bir öğe oluşturmak için lütfen tekrar yükleyin.,"Не вдається знайти попередньо вивантажений об'єкт Майстерні Steam. Будь ласка, вивантажте ще раз для створення нового об'єкта.",O item anteriormente enviado à Oficina não pôde ser encontrado. Por favor envie novamente para criar um novo item.,"Položka, uploadovaná do Workshopu, nebyla nalezena. Pro vytvoření položky proveďte nový upload.","Nie znaleziono poprzednio przesłanego przedmiotu z Warsztatu. Prześlij jeszcze raz, aby stworzyć nowy przedmiot."
The upload timed out. Please try again.,,Zeitüberschreitung beim Upload. Bitte versuche es erneut.,Le temps de partage a expiré. Veuillez essayer à nouveau.,Время отправки истекло. Повторите попытку.,上传超时。请再试一次。,アップロードが●タイムアウトしました。もう一度●お試しください。,La carga ha caducado. Inténtalo de nuevo.,업로드 시간이 초과되었습니다. 다시 시도해주세요.,Yükleme zaman aşımına uğradı. Lütfen tekrar deneyin.,"Час вивантаження завершився. Будь ласка, спробуйте ще раз.","O envio perdeu a conexão. Por favor, tente novamente.",Čas uploadu vypršel. Zkuste to znovu.,Przesyłanie się przedawniło. Spróbuj ponownie.
Then add *instructions* to make it pick up the reagent and move it to the product output.,,"Füge dann *Anweisungen* hinzu, damit er das Reagenz aufnimmt und zur Erzeugnisausgabe bewegt.",Ajoutez ensuite des *instructions* pour le faire ramasser le réactif et l'amener vers le produit.,"Затем добавьте *команды*, чтобы захватить реагент и переместить его в зону выхода продукта.",然后添加*指令*，使其拾取试剂并移动至产品输出。,次に、試薬を●取り出し、生成物の●出力に●移動させる●*命令*を●追加します。,Luego agrega *instrucciones* para hacer que recoja el reactivo y lo mueva a la salida del producto.,그리고 *명령*을 추가해서 팔이 반응물을 생성물 출력에 옮기게 합니다.,"Ardından, reaktifi alması ve ürün çıktısına taşıması için *talimatlar* ekleyin.","Потім додайте йому *команди*, щоб він взяв реагент і поклав його у місце виходу продукту.",Então adicione *instruções* para fazê-lo agarrar o reagente e mover ele ao destino dos produtos.,Pak přidejte *instrukce* ke zvednutí reagentu a jeho přenesení do výrobního výstupu.,"Następnie dodaj *instrukcje*, aby sprawić, że podniesie reagent i przeniesie go do wyjścia produktu."
Then add *instructions* to the instruction tray below to make it pick up the reagent and move it to the product output.,,"Füge dann *Anweisungen* in der Anweisungskonsole hinzu, damit er das Reagenz aufnimmt und zur Erzeugnisausgabe bewegt.",Ajoutez ensuite des *instructions* sur la planche pour le faire ramasser le réactif et l'amener vers le produit.,"Затем добавьте на панель команд *команды*, чтобы захватить реагент и переместить его в зону выхода продукта.",然后添加*指令*至指令叠，使其拾取试剂并移动至产品输出。,次に、*命令*を●命令トレイに●追加して、試薬を●取り出し、生成物の●出力に●移動させるように●します。,Luego agrega *instrucciones* a la bandeja de instrucciones debajo para que recoja el reactivo y lo mueva a la salida del producto.,그리고 *명령*을 명령 선반에 추가해서 팔이 반응물을 생성물 출력에 옮기게 합니다.,"Ardından, reaktifi almasını ve ürün çıktısına taşımasını sağlamak için aşağıdaki talimat tepsisine *talimatlar* ekleyin.","Потім додайте йому *команди* на *панелі команд* унизу, щоб він взяв реагент і поклав його у місце виходу продукту.",Então adicione *instruções* ao tabuleiro de instruções abaixo para fazê-lo agarrar o reagente e mover ele ao destino dos produtos.,Pak přidejte do lišty instrukcí *instrukce* ke zvednutí reagentu a jeho přenesení do výrobního výstupu.,"Następnie dodaj *instrukcje* na pasek instrukcji poniżej, aby sprawić, że podniesie reagent i przeniesie go do wyjścia produktu."
Then place an *arm* on the track and add *instructions* to make it pick up the reagent and move it to the product output.,,"Platziere dann einen *Arm* auf der Führungsschiene und füge *Anweisungen* hinzu, damit er das Reagenz aufnimmt und zur Erzeugnisausgabe bewegt.",Placez ensuite un *bras* sur le rail et ajoutez des *instructions* pour le faire ramasser le réactif et l'amener vers le produit.,"Затем поместите на направляющую *манипулятор* и добавьте *команды*, чтобы манипулятор захватил реагент и перенес его в зону выхода продукта.",然后在轨道放置一个*机械臂*，并添加*指令*，使其拾取试剂并移动至产品输出。,次に、*アーム*を●トラック上に●配置し、*命令*を●追加して、試薬を●取り出し、生成物の●出力に●移動させるように●します。,Luego coloca un *brazo* en el carril y agrega *instrucciones* para hacer que recoja el reactivo y lo mueva a la salida del producto.,그리고 *팔*을 선로에 배치하고 *명령*을 추가해서 팔이 반응물을 생성물 출력에 옮기게 합니다.,Ardından parçaya bir *kol* yerleştirin ve reaktifi alması ve ürün çıkışına taşıması için *talimatlar* ekleyin.,"Потім поставте на неї *маніпулятор* та додайте йому *команди*, щоб він взяв реагент і поклав його у місце виходу продукту.",Então coloque um *braço* no trilho e adicione *instruções* para fazê-lo agarrar o reagente e movê-lo ao destino dos produtos.,Pak přidejte na dráhu *manipulátor* a přidejte do lišty instrukcí *instrukce* ke zvednutí reagentu a jeho přenesení do výrobního výstupu.,"Następnie umieść *ramię* na torze i dodaj *instrukcje*, aby sprawić, że podniesie reagent i przeniesie go do wyjścia produktu."
There is already another part here.,,Hier befindet sich bereits ein anderes Teil.,Il y a déjà une autre pièce.,Здесь уже находится другая часть.,这里已经有另一个零件了。,ここには●既に●別のパーツが●存在します。,Ya hay otra parte aquí.,이미 다른 부품이 있습니다.,Burada başka bir parça daha var.,Тут вже знаходиться інша частина.,Já tem outra peça aqui.,Zde už další součástka je.,Tu już jest inna część.
There must be an atom at the center of the board.,,In der Mitte der Tafel muss sich ein Atom befinden.,Un atome doit se trouver au centre du plateau.,В центре стола должен находиться атом.,面板的中心一定要有一个原子。,ボードの●中央には●原子が●なければ●なりません。,Debe haber un átomo en el centro del tablero.,판 중앙에 원자가 있어야 합니다.,Tahtanın ortasında bir atom olmalıdır.,У центрі дошки повинен бути атом.,Deve haver um átomo no centro do tabuleiro.,Uprostřed stolu se musí nacházet atom.,Na środku planszy musi być atom.
These are *reagents*.,,Dies sind *Reagenzien*.,Voici des *réactifs*.,Это *реагенты*.,这些是*试剂*。,これらは●*試薬*です。,Estos son *reactivos*.,이것들은 *반응물*입니다.,Bunlar *reaktiflerdir*.,Це *реагенти*.,Estes são *reagentes*.,Toto jsou *reagenty*.,To są *reagenty*.
They are the input materials for doing alchemy.,,Sie sind die Grundstoffe für alchemistische Prozesse.,Ce sont des matériaux de production alchimique.,Они представляют собой исходный материал для алхимических манипуляций.,它们是炼金术的输入材料。,これらは●錬金術を●行うための●投入原料です。,Son los materiales principales para hacer alquimia.,반응물은 연금술의 입력 물질입니다.,Simya yapmak için girdi malzemeleridir.,Це вхідні матеріали для виконання алхімічних реакцій.,Eles são os materiais iniciais para praticar alquimia.,Jsou to vstupní materiály pro alchymistické procedury.,Są one materiałami wejściowymi w reakcjach alchemicznych.
This arm cannot extend or retract.,,Dieser Arm kann nicht aus- oder eingefahren werden.,Ce bras ne peut pas s'étendre ni se rétracter.,Этот манипулятор не может выдвигаться и втягиваться.,这个机械臂无法伸缩。,このアームは●伸縮できません。,Este brazo no puede extenderse o retraerse.,이 팔을 늘어나거나 줄어들수 없습니다.,Bu kol uzatılamaz veya geri çekilemez.,Цей маніпулятор не може висуватись чи втягуватись.,Este braço não pode se extender ou retrair.,Tento manipulátor se nemůže natáhnout či stáhnout.,To ramię nie może zmieniać swojej długości.
This gripper is already closed.,,Dieser Greifer ist bereits geschlossen.,Cette pince est déjà fermée.,Этот захват уже закрыт.,这个夹钳已拢合。,このグリッパーは●既に閉じています。,Esta pinza ya está cerrada.,이 집게는 이미 닫혀 있습니다.,Bu kıskaç zaten kapalı.,Цей захват вже закритий.,Esta garra já está fechada.,Tento zachycovač je již zavřený.,Ten chwytak już jest zamknięty.
This is a *product*.,,Dies ist ein *Erzeugnis*.,Voici un *produit*.,Это *продукт*.,这是个*产品*。,これは●*生成物*です。,Esto es un *producto*.,이것은 *생성물*입니다.,Bu bir *ürün*.,Це *продукт*.,Isto é um *produto*.,Toto je *produkt*.,To jest *produkt*.
This is the *instruction tray*.,,Das ist die *Anweisungskonsole*.,Voici la *planche à instructions*.,Это *панель команд*.,这是*指令叠*.,これは●*命令トレイ*です。,Esta es la *bandeja de instrucciones*.,이것은 *명령 선반*입니다.,"Bu, *talimat tepsisi*.",Це *панель команд*.,Este é o *tabuleiro de instruções*.,Tohle je *lišta instrukcí*.,To jest *pasek instrukcji*.
This piston arm cannot extend any further.,,Dieser Hydraulikarm kann nicht weiter ausgefahren werden.,Ce bras à piston ne peut pas s'étendre plus loin.,Этот выдвижной манипулятор дальше не выдвигается.,此活塞机械臂无法再延伸。,このピストンアームは●これ以上●伸ばすことは●できません。,Este brazo de pistón no puede extenderse más.,이 피스톤 팔은 더 늘어날 수 없습니다.,Bu piston kolu daha fazla uzatılamaz.,Цей поршень не може висуватись далі.,Este braço-pistão não pode se extender mais.,Tento pístový manipulátor se dál natáhnout nemůže.,To ramię nie może się bardziej wysunąć.
This piston arm cannot retract any further.,,Dieser Hydraulikarm kann nicht weiter eingefahren werden.,Ce bras à piston ne peut pas plus se rétracter.,Этот выдвижной манипулятор больше не втягивается.,此活塞机械臂无法再收回。,このピストンアームは●これ以上●縮ませることは●できません。,Este brazo de pistón no puede retraerse más.,이 피스톤 팔은 더 줄어들 수 없습니다.,Bu piston kolu daha fazla geri çekilemez.,Цей поршень не може більше втягуватись.,Este braço-pistão não pode se retrair mais.,Tento pístový manipulátor se více stáhnout nemůže.,To ramię nie może się bardziej schować.
This puzzle requires the product and reagent to be placed in separate chambers.,,Bei diesem Rätsel müssen Erzeugnis und Reagenz in unterschiedlichen Kammern platziert werden.,Ce puzzle nécessite que le produit et le réactif soient placés dans des chambres séparées.,В этой головоломке продукт и реагент должны находиться в разных камерах.,这个谜题需要产品和试剂放置在不同的房间。,このパズルでは生成物と試薬を別のチェンバーに配置する必要があります。,Este rompecabezas requiere que el producto y el reactivo sean colocados en cámaras separadas.,이 퍼즐은 생성물과 반응물이 다른 공간에 있어야 합니다.,"Bu bulmaca, ürünün ve reaktifin ayrı odalara yerleştirilmesini gerektirir.","Ця головоломка вимагає, щоб продукт і реагент розміщувались у різних камерах.",Este quebra-cabeças exige que o reagente e o produto sejam colocados em câmaras diferentes.,V tomto puzzle musí být produkt a reagent umístěny v oddělených komorách.,"Ta zagadka wymaga, aby produkt i reagent znajdowały się w osobnych komorach."
This: {0},,Akt.: {0},Ici : {0},Это: {0},此次：{0},これ: {0},Esta: {0},이것: {0},Bu: {0},Тут: {0},Este: {0},Nyní: {0},Teraz: {0}
Timing Crystal,,Timing-Kristall,Cristal de temps,Кристалл отсчета времени,计时水晶,計時の水晶,Cristal Cronométrico,타이머용 결정,Zamanlama Kristali,Кристал відліку часу,Cristal Temporizador,Časovací krystal,Kryształ czasu
Timing Crystal Fragment,,Timing-Kristallfragment,Éclat de cristal de temps,Осколок кристалла отсчета времени,计时水晶碎片,計時の水晶の●断片,Fragmento de Cristal del Tiempo,타이머용 결정 조각,Zamanlama Kristal Parçası,Фрагмент кристала відліку часу,Fragmento de Cristal Temporizador,Úlomek časovacího krystalu,Fragment kryształu czasu
Tin,,Zinn,Étain,Олово,锡,錫,Estaño,주석,Teneke,Олово,Estanho,Cín,Cyna
"To complete a puzzle, build all *products*.",,"Erschaffe alle *Erzeugnisse*, um ein Rätsel zu meistern.","Pour résoudre une énigme, fabriquez tous les *produits*.","Чтобы решить головоломку, нужно создать все *продукты*.",制作所有*产品*，即可完成谜题。,パズルを●クリアするには、すべての●*生成物*を●作りましょう。,"Para completar el rompecabezas, construya todos los *productos*.","퍼즐을 해결하기 위해, 모든 *생성물*을 만들어야 합니다.",Bir bulmacayı tamamlamak için tüm *ürünleri* oluşturun.,Щоб вирішити головоломку потрібно створити усі *продукти*.,"Para completar um quebra-cabeças, complete todos os *produtos*.",Pro dokončení puzzle musíte sestavit všechny *produkty*.,"Aby ukończyć zagadkę, należy zbudować wszystkie produkty."
Top Percentile,,Oberstes Perzentil,Meilleurs,Лучшие результаты,最高百分位数,上位パーセンタイル,Porcentaje Superior,상위 퍼센티지,Üst Yüzdelik,Верхній відсоток,Percentuais Superiores,Nejlepší výsledky,Optymalny wynik
Track,,Führungsschiene,Rail,Направляющая,轨道,トラック,Carril,선로,Ray,Доріжка,Trilho,Dráha,Tor
Transmutation Lab Rules,,Regeln für das Transmutationslabor,Règles de transmutation,Правила лаборатории,嬗变实验室规则,変成実験室の●ルール,Reglas del Lab. de Transmutación,변성 연구실 규칙,Dönüşüm Laboratuvarı Kuralları,Правила лабораторії,Regras do Laboratório,Pravidla transmutační laboratoře,Zasady laboratorium
Triplex bonds may only be created between fire atoms.,,Triplex-Bindungen können nur zwischen Feueratomen erstellt werden.,Les liens triplex ne peuvent être créés qu'avec des atomes de feu.,Тройные связи можно создать только между атомами огня.,三重键合只能在火原子之间形成。,三重結合は、火の原子の●間にのみ●形成されます。,Las uniones triples solo pueden ser creadas entre átomos de fuego.,삼중 결합은 불 원자 사이에서만 만들어질 수 있습니다.,Üç katlı bağlar sadece ateş atomları arasında oluşturulabilir.,Триєдині зв'язки можна створювати лише між атомами вогню.,Ligações triplas só podem ser realizadas entre átomos de fogo.,Trojspojení lze vytvořit pouze mezi atomy ohně.,Potrójne wiązania mogą być tworzone tylko między atomami ognia.
Undo change to solution,,Änderung an Lösung rückgängig machen,Annuler modification de la solution,Отменить изменение решения,撤销对解决方案的变更,ソリューションへの●変更を●元に戻す,Deshacer cambios en la solución,답안 변경점 되돌리기,Çözüme yapılan değişikliği geri al,Скасувати зміну в рішенні,Desfazer mudança na solução,Zrušit změny v řešení,Cofa zmianę w rozwiązaniu
Universal Solvent,,Universallösungsmittel,Solvant universel,Универсальный растворитель,通用溶剂,万能溶媒,Solvente Universal,만능 용매,Evrensel Çözücü,Універсальний розчинник,Solvente Universal,Univerzální rozpouštědlo,Uniwersalny rozposzczalnik
Unlocking Marbles,,Murmeln freischalten,Débloquer les billes,Разблокирование шариков,解锁弹珠,ビー玉の●ロックを●解除,Liberando Canicas,구슬 해제하기,Misketlerin Kilidini Açmak,Розблокування кульок,Desbloqueando Pedras,Odemčení kuliček,Odblokowywanie kulek
Unnamed Custom Puzzle,,Unbenanntes individuelles Rätsel,Énigme perso. sans nom,Безымянная пользовательская головоломка,未命名的自定义谜题,無題の●カスタムパズル,Rompecabezas Personalizado Sin Nombre,이름없는 커스텀 퍼즐,Adsız Özel Bulmaca,Головоломка без назви,Quebra-Cabeças Personalizado Sem Nome,Nepojmenované uživatelské puzzle,Niestandardowa zagadka bez nazwy
Unprecedented Actions,,Beispiellose Handlungen,Actions sans précédent,Неслыханное поведение,前所未有的行动,前例のない●行動,Acciones Sin Precedentes,전례없는 행동들,Emsalsiz Eylemler,Нечувані дії,Ações Sem Precedente,Bezprecedentní akce,Bezpredecedensowe działania
Unstable Compound,,Instabiler Stoff,Composant instable,Нестабильное соединение,不稳定化合物,不安定な●化合物,Componente Inestable,불안정한 물질,Kararsız Bileşik,Нестабільна сполука,Composto Instável,Nestabilní sloučenina,Niestabilny związek
Upload,,Upload,Partager,Отправ.,上传,アップロード,Subir,업로드,Yükle,Відправ,Enviar,Upload,Prześlij
Uploading puzzle to Steam Workshop,,Rätsel wird zum Steam Workshop hochgeladen,Partage de l'énigme sur le Steam Workshop,Отправка головоломки в Мастерскую Steam,正在上传谜题至 Steam 创意工坊,Steam ワークショップに●パズルを●アップロード中,Subiendo rompecabezas a Steam Workshop,스팀 창작마당에 퍼즐 업로드 중,Bulmaca Steam Atölyesi'ne yükleniyor,Вивантаження головоломки у Майстерню Steam,Enviando quebra-cabeças à Oficina do Steam,Uploadovat puzzle do Steam Workshopu,Przesyłanie zagadki do Warsztatu Steam
Use *two arms* and the *glyph of bonding* to bond the two salt atoms together and move them to the product output.,,"Verwende *zwei Arme* und die *Glyphe der Verbindung*, um die beiden Salzatome zu verbinden und sie zur Erzeugnisausgabe zu bewegen.",Utilisez *deux bras* et le *glyphe de liens* pour lier les deux atomes de sel ensemble et les déplacer vers le produit.,"Используйте *два манипулятора* и *глиф связи*, чтобы связать между собой два атома соли и переместить их в зону выхода продукта.",使用*两个机械臂*和*键合符文*将两个盐原子键合在一起，并将其移动到产品输出。,*2本のアーム*と●*結合の●象形文字*を●使用して、2つの●塩の原子を●結合させ、それらを●生成物出力に●移動させます。,Usa *dos brazos* y el *glifo de unión* para unir los dos átomos de sal y moverlos a la salida del producto.,*두개의 팔*과 *결합의 문양*을 사용해 두 소금 원자를 결합하고 생성물 출력에 옮깁니다.,İki tuz atomunu birbirine bağlamak ve ürün çıkışına taşımak için *iki kol* ve *bağ glifi* kullanın.,"Використайте *два маніпулятори* і *гліф зв'язку*, щоб зв'язати два атоми солі між собою і покласти їх у місце виходу продукту.",Use *dois braços* e o *glifo de ligação* para ligar os dois átomos de sal e mova-os para o destino dos produtos.,Použijte *dva manipulátory* a *glyf spojení* ke svázání dvou atomů soli a přeneste je k produktovému výstupu.,"Użyj *dwóch ramion* oraz *glifu wiązania*, aby połączyć dwa atomy soli i przemieścić je do wyjścia produktu."
Use a *piston arm* and a *glyph of calcification* to turn the reagent (a fire atom) into the product (a salt atom) and move it to the product output.,,"Verwende einen *Hydraulikarm* und eine *Glyphe der Kalzifizierung*, um das Reagenz (ein Feueratom) in das Erzeugnis (ein Salzatom) umzuwandeln und zur Erzeugnisausgabe zu bewegen.",Utilisez un *bras à piston* et un *glyphe de calcification* pour transformer le réactif (un atome de feu) en un produit (un atome de sel) et le déplacer vers le produit.,"Используйте *выдвижной манипулятор* и *глиф отверждения*, чтобы превратить реагент (атом огня) в продукт (атом соли) и переместить его в зону выхода продукта.",使用一个*活塞机械臂*和一个*钙化符文*，将试剂（一个火原子）转化为产品（一个盐原子），并将其移动到产品输出。,*ピストンアーム*と●*石灰化の●象形文字*を●使用して、試薬（火の原子）を●生成物（塩の原子）に●変換して●生成物出力に●移動させます。,Usa un *brazo de pistón* y un *glifo de calcificación* para convertir el reactivo (un átomo de fuego) en el producto (un átomo de sal) y muévelo a la salida del producto.,*피스톤 팔*과 *염화의 문양*을 사용해 반응물(불 원자)을 생성물(소금 원자)로 바꾸고 생성물 출력에 옮깁니다.,Reaktifi (bir ateş atomu) ürüne (bir tuz atomu) dönüştürmek ve ürün çıkışına taşımak için *piston kol* ve *kireçleme glifi* kullanın.,"Використайте *поршень* та *гліф отвердіння*, щoб перетворити реагент (атом вогню) на продукт (атом солі) та покласти його у місце виходу продукту.",Use um *braço-pistão* e um *glifo da calcificação* para transformar o reagente (um átomo de fogo) no produto (um átomo de sal) e mova ele para o destino de produtos.,Použijte *pístový manipulátor* a *glyf kalcifikace* na změnu reagentu (atom ohně) na produkt (atom soli) a přeneste jej k produktovému výstupu.,"Użyj *ramienia z tłokiem* oraz *glifu zwapniania*, aby zamienić reagent (atom ognia) w produkt (atom soli) i przemieścić go do wyjścia produktu."
Van Berlo's Wheel,,Van Berlos Rad,Roue de Van Berlo,Колесо Ван Берло,范贝罗之轮,ヴァン・ベルロの●ホイール,Rueda de Van Berlo,반 베를로 바퀴,Van Berlo'nun Tekerleği,Колесо Ван-Берло,Roda de Van Berlo,Van Berlovo kolo,Koło Van Berla
Van Tassen's New Alchemist,,Van Tassens neuer Alchemist,Le nouvel alchimiste de Van Tassen,Новый алхимик Дома Ван Тассен,范塔森的新炼金术士,ヴァン・タッセン家の●新錬金術師,El Nuevo Alquimista de Van Tassen,반 타쎈의 새로운 연금술사,Van Tassen'ın Yeni Simyacısı,Новий алхімік ван Тассенів,O Novo Alquimista de Van Tassen,Van Tassenův nový alchymista,Nowy alchemik Van Tassenów
Vapor of Levity,,Dampf der Leichtigkeit,Vapeur de légèreté,Веселящий газ,欢快蒸汽,陽気のガス,Vapor de Frivolidad,가벼움의 증기,Denge Buharı,Дим легкості,Vapor da Leveza,Pára lehkomyslnosti,Para lekkomyślności
Verrin Ravari,,Verrin Ravari,Verrin Ravari,Веррин Равари,韦尔林·拉瓦里,ヴェリン・ラヴァリ,Verrin Ravari,베린 라바리,Verrin Ravari,Веррін Раварі,Verrin Ravari,Verrin Ravari,Verrin Ravari
Very Dark Thread,,Sehr dunkles Garn,Fil obscur,Очень темная нить,极黑的线,漆黒の糸,Hilo Muy Oscuro,매우 어두운 실,Çok Karanlık Konu,Надтемна нитка,Fio Muito Escuro,Velmi tmavá nit,Bardzo ciemna nić
Viscous Sludge,,Dicker Schlamm,Boue visqueuse,Вязкая масса,粘稠的污泥,粘性スラッジ,Sustancia Viscosa,끈적이는 물질,Viskoz Çamur,В'язка грязюка,Pasta Viscosa,Viskózní kal,Lepki szlam
Vitae,,Vitae,Vitae,Жизнь,生,生命,Vitae,생명,Yaşam,Вітіс,Vitae,Život,Życie
Vitae and Mors will only match with their opposite.,,Vitae und Mors können nur ihrem Gegenteil zugeordnet werden.,La vitae et la mors ne s'associent qu'avec leur contraire.,Жизнь и смерть можно объединять в пары только с их противоположностью.,生和殁只与它们的相对匹配。,生命と死は●互いに●反対の●ものとしか●マッチしない。,Vitae y Mors solo se pueden combinar con sus opuestos.,생명과 죽음은 서로와만 조합됩니다.,Yaşam ve Ölüm sadece karşıtları ile eşleşir.,Вітіс та мортіс поєднуються лише одне з одним.,Vitae e Mors só combinam com os seus opostos.,Život a smrt se slučují jen se svým protikladem.,Życie i Śmierć połączą się tylko ze swoim przeciwieństwem.
Voltaic Coil,,Voltasche Spule,Ressort voltaïque,Электрическая катушка,流电线圈,流電●コイル,Bobina Voltaica,동전기 코일,Voltaik Bobin,Гальваноіндуктор,Bobina Voltaica,Galvanická cívka,Cewka woltaiczna
Warming Tonic,,Wärmendes Tonikum,Tonique revivifiant,Согревающее зелье,温暖补药,体を暖める●強壮剤,Tónico Calentador,온기 보존의 강장제,Isıtıcı Tonik,Зігріваючий напій,Tônico de Aquecimento,Zahřívací nápoj,Tonik ocieplający
Water,,Wasser,Eau,Вода,水,水,Agua,물,Su,Вода,Água,Voda,Woda
Water Purifier,,Wasserreiniger,Purificateur d'eau,Водоочиститель,净水器,浄水器,Agua Purificada,정수제,Su Arıtma Sistemi,Водоочисник,Purificador de Água,Čistič vody,Oczyszczacz wody
Waterproof Sealant,,Wasserbeständige Versiegelung,Enduit étanche,Водоотталкивающий состав,防水密封剂,防水封止剤,Sellante Impermeable,방수 밀봉재,Su Geçirmez Macun,Водонепроникна замазка,Selante à Prova d'Água,Vodotěsný materiál,Wodoodporne szczeliwo
